task,model_a,model_b,n_items,margin,gamma_star_pi0.05,gamma_star_pi0.1,gamma_star_pi0.2,gamma_star_pi0.3,lam_ref,non_robust_primary,non_robust_rho02,fragility_p,pilot_overlap,certified_robust_bh,certified_robust_by
arc:challenge|25,meta-llama__Llama-2-13b-hf,Qwen__Qwen1.5-14B,1170,0.015384615384615441,0.3076923076923088,0.1538461538461544,0.0769230769230772,0.051282051282051475,0.355,True,True,0.9470264867566217,False,False,False
arc:challenge|25,Qwen__Qwen1.5-14B,Qwen__Qwen1.5-7B,1170,0.023931623931623958,0.47863247863247915,0.23931623931623958,0.11965811965811979,0.07977207977207987,0.355,True,True,0.8205897051474262,False,False,False
arc:challenge|25,Qwen__Qwen1.5-7B,meta-llama__Llama-2-7b-hf,1170,0.011111111111111072,0.22222222222222143,0.11111111111111072,0.05555555555555536,0.03703703703703691,0.355,True,True,0.9785107446276862,False,False,False
arc:challenge|25,meta-llama__Llama-2-7b-hf,EleutherAI__gpt-j-6b,1170,0.11709401709401712,inf,inf,0.5854700854700856,0.3903133903133904,0.355,False,False,0.0004997501249375312,False,True,True
hellaswag|10,meta-llama__Meta-Llama-3-70B,meta-llama__Llama-2-70b-hf,10019,0.006288052699870317,0.12576105399740634,0.06288052699870317,0.031440263499351584,0.02096017566623439,0.42,True,True,1.0,False,False,False
hellaswag|10,meta-llama__Llama-2-70b-hf,mistralai__Mixtral-8x7B-v0.1,10019,0.008933027248228309,0.17866054496456618,0.08933027248228309,0.044665136241141545,0.029776757494094364,0.42,True,True,1.0,False,False,False
hellaswag|10,mistralai__Mixtral-8x7B-v0.1,Qwen__Qwen1.5-72B,10019,0.004641181754666102,0.09282363509332203,0.046411817546661016,0.023205908773330508,0.015470605848887006,0.42,True,True,1.0,False,False,False
hellaswag|10,Qwen__Qwen1.5-72B,01-ai__Yi-34B,10019,0.0029943108094621085,0.05988621618924217,0.029943108094621085,0.014971554047310542,0.009981036031540363,0.42,True,True,1.0,False,False,False
hellaswag|10,01-ai__Yi-34B,upstage__SOLAR-10.7B-v1.0,10019,0.01082942409422094,0.21658848188441882,0.10829424094220941,0.054147120471104704,0.0360980803140698,0.42,True,True,1.0,False,False,False
hellaswag|10,upstage__SOLAR-10.7B-v1.0,mistralai__Mistral-7B-v0.1,10019,0.0129753468410021,0.259506936820042,0.129753468410021,0.0648767342050105,0.04325115613667367,0.42,True,True,1.0,False,False,False
hellaswag|10,mistralai__Mistral-7B-v0.1,google__gemma-7b,10019,0.008384070266493682,0.16768140532987363,0.08384070266493682,0.04192035133246841,0.027946900888312275,0.42,True,True,1.0,False,False,False
hellaswag|10,google__gemma-7b,meta-llama__Meta-Llama-3-8B,10019,0.0023954486475695758,0.047908972951391515,0.023954486475695758,0.011977243237847879,0.00798482882523192,0.42,True,True,1.0,False,False,False
hellaswag|10,meta-llama__Meta-Llama-3-8B,Qwen__Qwen1.5-14B,10019,0.011627906976744207,0.23255813953488413,0.11627906976744207,0.058139534883721034,0.03875968992248069,0.42,True,True,1.0,False,False,False
hellaswag|10,Qwen__Qwen1.5-14B,meta-llama__Llama-2-13b-hf,10019,0.0010979139634693658,0.021958279269387315,0.010979139634693658,0.005489569817346829,0.0036597132115645525,0.42,True,True,1.0,False,False,False
hellaswag|10,meta-llama__Llama-2-13b-hf,Qwen__Qwen1.5-7B,10019,0.02465315899790399,0.4930631799580798,0.2465315899790399,0.12326579498951995,0.08217719665967997,0.42,True,True,1.0,False,False,False
hellaswag|10,Qwen__Qwen1.5-7B,tiiuae__falcon-7b,10019,0.003692983331669897,0.07385966663339794,0.03692983331669897,0.018464916658349484,0.012309944438899656,0.42,True,True,1.0,False,False,False
hellaswag|10,tiiuae__falcon-7b,meta-llama__Llama-2-7b-hf,10019,0.00389260405230063,0.0778520810460126,0.0389260405230063,0.01946302026150315,0.0129753468410021,0.42,True,True,1.0,False,False,False
hellaswag|10,meta-llama__Llama-2-7b-hf,microsoft__phi-2,10019,0.02839604750973146,0.5679209501946292,0.2839604750973146,0.1419802375486573,0.09465349169910486,0.42,True,True,1.0,False,False,False
hellaswag|10,microsoft__phi-2,EleutherAI__gpt-j-6b,10019,0.07379312639318636,inf,0.7379312639318636,0.3689656319659318,0.24597708797728787,0.42,False,False,0.0004997501249375312,False,True,True
winogrande|5,meta-llama__Meta-Llama-3-70B,meta-llama__Llama-2-70b-hf,1267,0.015785319652723007,0.31570639305446013,0.15785319652723007,0.07892659826361503,0.05261773217574336,0.355,True,True,0.9790104947526237,False,False,False
winogrande|5,meta-llama__Llama-2-70b-hf,upstage__SOLAR-10.7B-v1.0,1267,0.0007892659826361781,0.015785319652723562,0.007892659826361781,0.0039463299131808904,0.0026308866087872604,0.355,True,True,0.9995002498750625,False,False,False
winogrande|5,upstage__SOLAR-10.7B-v1.0,01-ai__Yi-34B,1267,0.006314127861089092,0.12628255722178183,0.06314127861089092,0.03157063930544546,0.021047092870296973,0.355,True,True,0.9955022488755623,False,False,False
winogrande|5,01-ai__Yi-34B,Qwen__Qwen1.5-72B,1267,0.0,0.0,0.0,0.0,0.0,0.355,True,True,0.9995002498750625,False,False,False
winogrande|5,Qwen__Qwen1.5-72B,mistralai__Mixtral-8x7B-v0.1,1267,0.013417521704814583,0.26835043409629167,0.13417521704814583,0.06708760852407292,0.044725072349381945,0.355,True,True,0.9725137431284357,False,False,False
winogrande|5,mistralai__Mixtral-8x7B-v0.1,mistralai__Mistral-7B-v0.1,1267,0.030781373322809724,0.6156274664561945,0.30781373322809724,0.15390686661404862,0.10260457774269909,0.355,True,True,0.6471764117941029,False,False,False
winogrande|5,mistralai__Mistral-7B-v0.1,meta-llama__Meta-Llama-3-8B,1267,0.0015785319652723562,0.031570639305447123,0.015785319652723562,0.007892659826361781,0.005261773217574521,0.355,True,True,0.9975012493753124,False,False,False
winogrande|5,meta-llama__Meta-Llama-3-8B,google__gemma-7b,1267,0.0,0.0,0.0,0.0,0.0,0.355,True,True,0.9995002498750625,False,False,False
winogrande|5,google__gemma-7b,meta-llama__Llama-2-13b-hf,1267,0.01815311760063143,0.3630623520126286,0.1815311760063143,0.09076558800315715,0.06051039200210477,0.355,True,True,0.9235382308845578,False,False,False
winogrande|5,meta-llama__Llama-2-13b-hf,meta-llama__Llama-2-7b-hf,1267,0.026045777426992878,0.5209155485398576,0.2604577742699288,0.1302288871349644,0.08681925808997626,0.355,True,True,0.8020989505247377,False,False,False
winogrande|5,meta-llama__Llama-2-7b-hf,microsoft__phi-2,1267,0.0055248618784530246,0.11049723756906049,0.055248618784530246,0.027624309392265123,0.018416206261510082,0.355,True,True,0.9720139930034982,False,False,False
winogrande|5,microsoft__phi-2,Qwen__Qwen1.5-14B,1267,0.0,0.0,0.0,0.0,0.0,0.355,True,True,0.9890054972513743,False,False,False
winogrande|5,Qwen__Qwen1.5-14B,tiiuae__falcon-7b,1267,0.011049723756906049,0.22099447513812098,0.11049723756906049,0.055248618784530246,0.036832412523020164,0.355,True,True,0.9705147426286856,False,False,False
winogrande|5,tiiuae__falcon-7b,Qwen__Qwen1.5-7B,1267,0.01104972375690616,0.2209944751381232,0.1104972375690616,0.0552486187845308,0.03683241252302054,0.355,True,True,0.9720139930034982,False,False,False
gsm8k|5,meta-llama__Meta-Llama-3-70B,Qwen__Qwen1.5-14B,1319,0.09249431387414708,inf,0.9249431387414708,0.4624715693707354,0.3083143795804903,0.355,False,False,0.0004997501249375312,False,True,True
gsm8k|5,Qwen__Qwen1.5-14B,Qwen__Qwen1.5-72B,1319,0.018953752843063,0.37907505686126,0.18953752843063,0.094768764215315,0.06317917614354333,0.355,True,True,0.8630684657671165,False,False,False
gsm8k|5,Qwen__Qwen1.5-72B,mistralai__Mixtral-8x7B-v0.1,1319,0.0811220621683093,inf,0.8112206216830931,0.40561031084154653,0.27040687389436435,0.355,False,False,0.001999000499750125,False,True,False
gsm8k|5,mistralai__Mixtral-8x7B-v0.1,upstage__SOLAR-10.7B-v1.0,1319,0.021228203184230465,0.4245640636846093,0.21228203184230465,0.10614101592115233,0.07076067728076822,0.355,True,True,0.8295852073963018,False,False,False
gsm8k|5,upstage__SOLAR-10.7B-v1.0,microsoft__phi-2,1319,0.005307050796057644,0.10614101592115288,0.05307050796057644,0.02653525398028822,0.01769016932019215,0.355,True,True,0.9740129935032483,False,False,False
gsm8k|5,microsoft__phi-2,meta-llama__Llama-2-70b-hf,1319,0.0090978013646702,0.181956027293404,0.090978013646702,0.045489006823351,0.030326004548900665,0.355,True,True,0.9505247376311844,False,False,False
gsm8k|5,meta-llama__Llama-2-70b-hf,Qwen__Qwen1.5-7B,1319,0.005307050796057644,0.10614101592115288,0.05307050796057644,0.02653525398028822,0.01769016932019215,0.355,True,True,0.975512243878061,False,False,False
gsm8k|5,Qwen__Qwen1.5-7B,google__gemma-7b,1319,0.007581501137225111,0.1516300227445022,0.0758150113722511,0.03790750568612555,0.025271670457417038,0.355,True,True,0.9635182408795602,False,False,False
gsm8k|5,google__gemma-7b,01-ai__Yi-34B,1319,0.021228203184230465,0.4245640636846093,0.21228203184230465,0.10614101592115233,0.07076067728076822,0.355,True,True,0.8055972013993004,False,False,False
gsm8k|5,01-ai__Yi-34B,meta-llama__Meta-Llama-3-8B,1319,0.05458680818802125,inf,0.5458680818802125,0.27293404094010626,0.18195602729340418,0.355,False,False,0.12993503248375812,False,False,False
gsm8k|5,meta-llama__Meta-Llama-3-8B,mistralai__Mistral-7B-v0.1,1319,0.08112206216830936,inf,0.8112206216830936,0.4056103108415468,0.2704068738943646,0.355,False,False,0.001999000499750125,False,True,False
gsm8k|5,mistralai__Mistral-7B-v0.1,meta-llama__Llama-2-13b-hf,1319,0.14253222137983318,inf,inf,0.7126611068991658,0.47510740459944395,0.355,False,False,0.0004997501249375312,False,True,True
gsm8k|5,meta-llama__Llama-2-13b-hf,meta-llama__Llama-2-7b-hf,1319,0.08339651250947688,inf,0.8339651250947688,0.4169825625473844,0.27798837503158963,0.355,False,False,0.0004997501249375312,False,True,True
gsm8k|5,meta-llama__Llama-2-7b-hf,tiiuae__falcon-7b,1319,0.09855951478392722,inf,0.9855951478392722,0.4927975739196361,0.32853171594642405,0.355,False,False,0.0004997501249375312,False,True,True
gsm8k|5,tiiuae__falcon-7b,EleutherAI__gpt-j-6b,1319,0.016679302501895376,0.3335860500379075,0.16679302501895374,0.08339651250947687,0.055597675006317925,0.355,True,True,0.9970014992503748,False,False,False
